SESSION,HEIGHT,LAT,LONG,Height4,Height8,Height12
92,24,-30.626987,151.565682,24,18,17.28
92,24,-30.627017,151.565695,24,18,17.28
92,26,-30.627045,151.565705,26,19.5,18.72
92,20,-30.627072,151.565718,20,15,16.2
92,28,-30.627097,151.56573,28,21,20.16
92,26,-30.627123,151.565743,26,19.5,18.72
92,22,-30.627153,151.565757,22,16.5,17.82
92,12,-30.627185,151.56577,12,9.6,9.72
92,20,-30.627218,151.565778,20,15,16.2
92,18,-30.627247,151.565773,18,14.4,14.58
92,20,-30.627268,151.565758,20,15,16.2
92,18,-30.627278,151.565732,18,14.4,14.58
92,20,-30.627278,151.5657,20,15,16.2
92,20,-30.627267,151.565673,20,15,16.2
92,16,-30.627248,151.565655,16,12.8,12.96
92,22,-30.627225,151.565643,22,16.5,17.82
92,26,-30.627197,151.565633,26,19.5,18.72
92,22,-30.62717,151.565623,22,16.5,17.82
92,20,-30.627143,151.565613,20,15,16.2
92,22,-30.627117,151.565603,22,16.5,17.82
92,18,-30.62709,151.565593,18,14.4,14.58
92,22,-30.627062,151.565582,22,16.5,17.82
92,18,-30.627033,151.56557,18,14.4,14.58
92,12,-30.627007,151.56556,12,9.6,9.72
92,16,-30.626983,151.56555,16,12.8,12.96
92,16,-30.626938,151.565532,16,12.8,12.96
92,18,-30.626915,151.565523,18,14.4,14.58
92,28,-30.626892,151.565515,28,21,20.16
92,26,-30.626868,151.565505,26,19.5,18.72
92,12,-30.626845,151.565497,12,9.6,9.72
92,12,-30.62682,151.565487,12,9.6,9.72
92,14,-30.626797,151.565477,14,11.2,11.34
92,16,-30.62677,151.565467,16,12.8,12.96
92,18,-30.626747,151.565457,18,14.4,14.58
92,16,-30.62672,151.565445,16,12.8,12.96
92,16,-30.626693,151.565435,16,12.8,12.96
92,20,-30.626667,151.565423,20,15,16.2
92,20,-30.626642,151.565413,20,15,16.2
92,18,-30.626617,151.565403,18,14.4,14.58
92,16,-30.626592,151.565393,16,12.8,12.96
92,18,-30.626565,151.565382,18,14.4,14.58
92,18,-30.62654,151.565372,18,14.4,14.58
92,12,-30.626517,151.565363,12,9.6,9.72
92,16,-30.626495,151.565355,16,12.8,12.96
92,10,-30.626472,151.565348,10,8,8.1
