dataResourceUid,eventDate,decimalLatitude,decimalLongitude,geodeticDatum,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,species,provenance
dr368,2011-01-19T00:00:00Z,-30.49341,151.700369,EPSG:4326,-30.49341005,151.7003695,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-06-23T00:00:00Z,-30.484187,151.662559,EPSG:4326,-30.48418682,151.6625594,GDA94,Phascolarctos cinereus,Published dataset
dr368,2006-10-17T00:00:00Z,-30.489929,151.683865,EPSG:4326,-30.48992868,151.6838648,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-03-06T00:00:00Z,-30.501865,151.639364,EPSG:4326,-30.50186525,151.6393635,GDA94,Phascolarctos cinereus,Published dataset
dr368,2019-10-13T00:00:00Z,-30.490992,151.680734,EPSG:4326,-30.4909916,151.6807341,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-11T00:00:00Z,-30.501435,151.639737,EPSG:4326,-30.50143543,151.6397371,GDA94,Phascolarctos cinereus,Published dataset
dr368,2019-04-18T00:00:00Z,-30.50499,151.599103,EPSG:4326,-30.50499022,151.5991029,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-11-08T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-29T00:00:00Z,-30.524369,151.643636,EPSG:4326,-30.52436922,151.6436359,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-10T00:00:00Z,-30.494505,151.638639,EPSG:4326,-30.49450534,151.638639,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-08-07T00:00:00Z,-30.474974,151.679995,EPSG:4326,-30.47497406,151.6799952,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-28T00:00:00Z,-30.501773,151.63925,EPSG:4326,-30.5017729,151.6392498,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-12-09T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-08-19T00:00:00Z,-30.529342,151.661653,EPSG:4326,-30.52934219,151.6616531,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-03-05T00:00:00Z,-30.532099,151.662038,EPSG:4326,-30.5320994,151.6620379,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-03-04T00:00:00Z,-30.52733,151.648105,EPSG:4326,-30.52732998,151.6481047,GDA94,Phascolarctos cinereus,Published dataset
dr368,2018-08-14T00:00:00Z,-30.50157,151.66621,EPSG:4326,-30.50157,151.66621,GDA94,Phascolarctos cinereus,Published dataset
dr368,2012-10-01T00:00:00Z,-30.529754,151.661739,EPSG:4326,-30.52975447,151.6617394,GDA94,Phascolarctos cinereus,Published dataset
dr368,2010-08-08T00:00:00Z,-30.507481,151.693084,EPSG:4326,-30.50748131,151.6930836,GDA94,Phascolarctos cinereus,Published dataset
dr368,2009-09-22T00:00:00Z,-30.528536,151.66194,EPSG:4326,-30.52853592,151.66194,GDA94,Phascolarctos cinereus,Published dataset
dr368,2011-07-12T00:00:00Z,-30.488215,151.695315,EPSG:4326,-30.4882154,151.6953153,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-08-19T00:00:00Z,-30.49526,151.643416,EPSG:4326,-30.49526038,151.6434156,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-09-16T00:00:00Z,-30.493916,151.643632,EPSG:4326,-30.49391636,151.6436317,GDA94,Phascolarctos cinereus,Published dataset
dr368,2013-12-12T00:00:00Z,-30.501299,151.639442,EPSG:4326,-30.50129906,151.639442,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-12-01T00:00:00Z,-30.498422,151.644415,EPSG:4326,-30.49842195,151.6444149,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-11-01T00:00:00Z,-30.531277,151.661093,EPSG:4326,-30.53127736,151.6610927,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-07-28T00:00:00Z,-30.529687,151.652834,EPSG:4326,-30.52968709,151.6528343,GDA94,Phascolarctos cinereus,Published dataset
dr368,2016-02-10T00:00:00Z,-30.487485,151.644391,EPSG:4326,-30.48748529,151.6443908,GDA94,Phascolarctos cinereus,Published dataset
dr368,2014-11-01T00:00:00Z,-30.531277,151.661093,EPSG:4326,-30.5312774,151.6610926,GDA94,Phascolarctos cinereus,Published dataset
dr368,2015-02-27T00:00:00Z,-30.531042,151.65926,EPSG:4326,-30.53104174,151.6592601,GDA94,Phascolarctos cinereus,Published dataset
